station_id;name;is_virtual_station;capacity;lat;lon;geopunt;station_area
e63777cc-d64a-41a9-b77f-bfdca1e64568;Ham 28;1;2;51.058275;3.733184;51.058275, 3.733184;"{""coordinates"": [[[[3.733471726911948, 51.058275246896], [3.733466199715109, 51.058331365467275], [3.7334498305316663, 51.05838532743333], [3.7334232484201597, 51.05843505906606], [3.7333874749162272, 51.05847864920673], [3.7333438847755627, 51.058514422710665], [3.7332941531428263, 51.05854100482217], [3.7332401911767743, 51.05855737400561], [3.7331840726055, 51.05856290120245], [3.7331279540342255, 51.05855737400561], [3.7330739920681735, 51.05854100482217], [3.733024260435437, 51.058514422710665], [3.7329806702947725, 51.05847864920673], [3.73294489679084, 51.05843505906606], [3.7329183146793334, 51.05838532743333], [3.732901945495891, 51.058331365467275], [3.7328964182990516, 51.058275246896], [3.732901945495891, 51.05821912832473], [3.7329183146793334, 51.05816516635868], [3.73294489679084, 51.05811543472594], [3.7329806702947725, 51.05807184458528], [3.733024260435437, 51.05803607108134], [3.7330739920681735, 51.05800948896984], [3.7331279540342255, 51.057993119786396], [3.7331840726055, 51.057987592589555], [3.7332401911767743, 51.057993119786396], [3.7332941531428263, 51.05800948896984], [3.7333438847755627, 51.05803607108134], [3.7333874749162272, 51.05807184458528], [3.7334232484201597, 51.05811543472594], [3.7334498305316663, 51.05816516635868], [3.733466199715109, 51.05821912832473], [3.733471726911948, 51.058275246896]]]], ""type"": ""MultiPolygon""}"
7ab4294e-16ea-421d-851f-83b45c20e4b0;Muinklaan 16;1;2;51.043252;3.731756;51.043252, 3.731756;"{""coordinates"": [[[[3.7319964909791, 51.043252085979], [3.7319918660968, 51.043299043197], [3.7319781691815, 51.043344195876], [3.7319559265979, 51.043385808823], [3.7319259931161, 51.043422282876], [3.7318895190631, 51.043452216358], [3.7318479061161, 51.043474458941], [3.7318027534375, 51.043488155856], [3.7317557962193, 51.043492780739], [3.7317088390011, 51.043488155856], [3.7316636863225, 51.043474458941], [3.7316220733755, 51.043452216358], [3.7315855993225, 51.043422282876], [3.7315556658407, 51.043385808823], [3.7315334232571, 51.043344195876], [3.7315197263418, 51.043299043197], [3.7315151014595, 51.043252085979], [3.7315197263418, 51.043205128761], [3.7315334232571, 51.043159976082], [3.7315556658407, 51.043118363135], [3.7315855993225, 51.043081889082], [3.7316220733755, 51.0430519556], [3.7316636863225, 51.043029713017], [3.7317088390011, 51.043016016102], [3.7317557962193, 51.043011391219], [3.7318027534375, 51.043016016102], [3.7318479061161, 51.043029713017], [3.7318895190631, 51.0430519556], [3.7319259931161, 51.043081889082], [3.7319559265979, 51.043118363135], [3.7319781691815, 51.043159976082], [3.7319918660968, 51.043205128761], [3.7319964909791, 51.043252085979]]]], ""type"": ""MultiPolygon""}"
f79cb69a-460a-4f91-a5c9-d723314410be;Sint-Amandstraat 21;1;2;51.043138;3.724874;51.043138, 3.724874;"{""coordinates"": [[[[3.725291884756702, 51.043138476127], [3.7252838557448866, 51.04321999605201], [3.725260077259861, 51.04329838321201], [3.7252214630954703, 51.04337062523242], [3.7251694971723968, 51.04343394589289], [3.725106176511921, 51.04348591181597], [3.725033934491514, 51.04352452598036], [3.7249555473315077, 51.04354830446538], [3.7248740274065, 51.0435563334772], [3.7247925074814923, 51.04354830446538], [3.7247141203214857, 51.04352452598036], [3.724641878301079, 51.04348591181597], [3.724578557640603, 51.04343394589289], [3.7245265917175296, 51.04337062523242], [3.7244879775531388, 51.04329838321201], [3.7244641990681133, 51.04321999605201], [3.724456170056298, 51.043138476127], [3.7244641990681133, 51.04305695620199], [3.7244879775531388, 51.042978569041985], [3.7245265917175296, 51.042906327021576], [3.724578557640603, 51.0428430063611], [3.724641878301079, 51.042791040438026], [3.7247141203214857, 51.04275242627364], [3.7247925074814923, 51.042728647788614], [3.7248740274065, 51.0427206187768], [3.7249555473315077, 51.042728647788614], [3.725033934491514, 51.04275242627364], [3.725106176511921, 51.042791040438026], [3.7251694971723968, 51.0428430063611], [3.7252214630954703, 51.042906327021576], [3.725260077259861, 51.042978569041985], [3.7252838557448866, 51.04305695620199], [3.725291884756702, 51.043138476127]]]], ""type"": ""MultiPolygon""}"
a5feb6b8-fee4-4051-9270-9f7878e71e46;Oude Houtlei 154;1;2;51.050005;3.717303;51.050005, 3.717303;"{""coordinates"": [[[[3.7177584104854, 51.05000522872], [3.7177496609824, 51.050094063915], [3.7177237487118, 51.050179485223], [3.7176816694677, 51.050258209952], [3.7176250403318, 51.050327212754], [3.7175560375301, 51.050383841889], [3.7174773128015, 51.050425921134], [3.7173918914932, 51.050451833404], [3.7173030562982, 51.050460582907], [3.7172142211032, 51.050451833404], [3.7171287997949, 51.050425921134], [3.7170500750663, 51.050383841889], [3.7169810722646, 51.050327212754], [3.7169244431287, 51.050258209952], [3.7168823638846, 51.050179485223], [3.716856451614, 51.050094063915], [3.716847702111, 51.05000522872], [3.716856451614, 51.049916393525], [3.7168823638846, 51.049830972217], [3.7169244431287, 51.049752247488], [3.7169810722646, 51.049683244686], [3.7170500750663, 51.049626615551], [3.7171287997949, 51.049584536306], [3.7172142211032, 51.049558624036], [3.7173030562982, 51.049549874533], [3.7173918914932, 51.049558624036], [3.7174773128015, 51.049584536306], [3.7175560375301, 51.049626615551], [3.7176250403318, 51.049683244686], [3.7176816694677, 51.049752247488], [3.7177237487118, 51.049830972217], [3.7177496609824, 51.049916393525], [3.7177584104854, 51.05000522872]]]], ""type"": ""MultiPolygon""}"
af19ec80-e991-4f30-adb2-90f67c230b80;Steendam 68;1;2;51.057246;3.730303;51.057246, 3.730303;"{""coordinates"": [[[[3.7305875418155, 51.057245589428], [3.7305820675796, 51.057301170278], [3.7305658552436, 51.057354615187], [3.7305395278385, 51.057403870298], [3.7305040971118, 51.057447042763], [3.7304609246464, 51.05748247349], [3.7304116695359, 51.057508800895], [3.7303582246267, 51.057525013231], [3.7303026437765, 51.057530487467], [3.7302470629263, 51.057525013231], [3.7301936180171, 51.057508800895], [3.7301443629066, 51.05748247349], [3.7301011904412, 51.057447042763], [3.7300657597145, 51.057403870298], [3.7300394323094, 51.057354615187], [3.7300232199734, 51.057301170278], [3.7300177457375, 51.057245589428], [3.7300232199734, 51.057190008578], [3.7300394323094, 51.057136563669], [3.7300657597145, 51.057087308558], [3.7301011904412, 51.057044136093], [3.7301443629066, 51.057008705366], [3.7301936180171, 51.056982377961], [3.7302470629263, 51.056966165625], [3.7303026437765, 51.056960691389], [3.7303582246267, 51.056966165625], [3.7304116695359, 51.056982377961], [3.7304609246464, 51.057008705366], [3.7305040971118, 51.057044136093], [3.7305395278385, 51.057087308558], [3.7305658552436, 51.057136563669], [3.7305820675796, 51.057190008578], [3.7305875418155, 51.057245589428]]]], ""type"": ""MultiPolygon""}"
02c31063-988f-4cbb-a992-ebb736bdc63f;Lange Kruisstraat 39;1;2;51.052361;3.725789;51.052361, 3.725789;"{""coordinates"": [[[[3.726142352628, 51.052360582632], [3.726135562317, 51.052429525816], [3.7261154523319, 51.052495819553], [3.7260827954881, 51.05255691621], [3.7260388467699, 51.052610467878], [3.7259852951017, 51.052654416597], [3.7259241984443, 51.05268707344], [3.7258579047078, 51.052707183426], [3.7257889615234, 51.052713973737], [3.725720018339, 51.052707183426], [3.7256537246025, 51.05268707344], [3.7255926279451, 51.052654416597], [3.7255390762769, 51.052610467878], [3.7254951275587, 51.05255691621], [3.7254624707149, 51.052495819553], [3.7254423607298, 51.052429525816], [3.7254355704188, 51.052360582632], [3.7254423607298, 51.052291639448], [3.7254624707149, 51.052225345711], [3.7254951275587, 51.052164249054], [3.7255390762769, 51.052110697386], [3.7255926279451, 51.052066748667], [3.7256537246025, 51.052034091824], [3.725720018339, 51.052013981838], [3.7257889615234, 51.052007191527], [3.7258579047078, 51.052013981838], [3.7259241984443, 51.052034091824], [3.7259852951017, 51.052066748667], [3.7260388467699, 51.052110697386], [3.7260827954881, 51.052164249054], [3.7261154523319, 51.052225345711], [3.726135562317, 51.052291639448], [3.726142352628, 51.052360582632]]]], ""type"": ""MultiPolygon""}"
84f86ecd-d69e-4933-958a-3007a214694e;Baudelokaai 14;1;2;51.059113;3.730462;51.059113, 3.730462;"{""coordinates"": [[[[3.73077819411, 51.059113450768], [3.7307721254013, 51.059175067401], [3.7307541524925, 51.059234316141], [3.7307249660722, 51.059288920093], [3.7306856877583, 51.059336780857], [3.7306378269944, 51.059376059171], [3.7305832230427, 51.059405245591], [3.7305239743025, 51.0594232185], [3.7304623576696, 51.059429287208], [3.7304007410367, 51.0594232185], [3.7303414922965, 51.059405245591], [3.7302868883448, 51.059376059171], [3.7302390275809, 51.059336780857], [3.730199749267, 51.059288920093], [3.7301705628467, 51.059234316141], [3.7301525899379, 51.059175067401], [3.7301465212292, 51.059113450768], [3.7301525899379, 51.059051834135], [3.7301705628467, 51.058992585395], [3.730199749267, 51.058937981443], [3.7302390275809, 51.058890120679], [3.7302868883448, 51.058850842365], [3.7303414922965, 51.058821655945], [3.7304007410367, 51.058803683036], [3.7304623576696, 51.058797614328], [3.7305239743025, 51.058803683036], [3.7305832230427, 51.058821655945], [3.7306378269944, 51.058850842365], [3.7306856877583, 51.058890120679], [3.7307249660722, 51.058937981443], [3.7307541524925, 51.058992585395], [3.7307721254013, 51.059051834135], [3.73077819411, 51.059113450768]]]], ""type"": ""MultiPolygon""}"
a489b6df-9a0a-47ab-a359-34f4d7ce6314;Aaigemstraat 63;1;2;51.038435;3.707531;51.038435, 3.707531;"{""coordinates"": [[[[3.707948994699263, 51.038434930572], [3.707940965116129, 51.0385164562977], [3.7079171849391046, 51.03859484903548], [3.7078785680270565, 51.03866709619639], [3.7078265984062577, 51.03873042136256], [3.707763273240091, 51.03878239098336], [3.707691026079179, 51.03882100789541], [3.7076126333413986, 51.03884478807243], [3.7075311076157, 51.03885281765557], [3.707449581890001, 51.03884478807243], [3.7073711891522207, 51.03882100789541], [3.7072989419913087, 51.03878239098336], [3.707235616825142, 51.03873042136256], [3.707183647204343, 51.03866709619639], [3.707145030292295, 51.03859484903548], [3.7071212501152706, 51.0385164562977], [3.7071132205321367, 51.038434930572], [3.7071212501152706, 51.038353404846305], [3.707145030292295, 51.03827501210852], [3.707183647204343, 51.03820276494761], [3.707235616825142, 51.038139439781446], [3.7072989419913087, 51.03808747016065], [3.7073711891522207, 51.0380488532486], [3.707449581890001, 51.03802507307157], [3.7075311076157, 51.03801704348844], [3.7076126333413986, 51.03802507307157], [3.707691026079179, 51.0380488532486], [3.707763273240091, 51.03808747016065], [3.7078265984062577, 51.038139439781446], [3.7078785680270565, 51.03820276494761], [3.7079171849391046, 51.03827501210852], [3.707940965116129, 51.038353404846305], [3.707948994699263, 51.038434930572]]]], ""type"": ""MultiPolygon""}"
44a80ef4-be3a-4d21-8735-0d6ccff22b53;Maïsstraat 213;1;2;51.072445;3.712516;51.072445, 3.712516;"{""coordinates"": [[[[3.7126406723977, 51.072445162872], [3.7126382705577505, 51.07246954916225], [3.712631157339264, 51.072492998301044], [3.7126196060992376, 51.07251460915113], [3.712604060745348, 51.07253355121965], [3.7125851186768273, 51.07254909657354], [3.712563507826746, 51.07256064781357], [3.712540058687952, 51.07256776103205], [3.7125156723977, 51.072570162872], [3.712491286107448, 51.07256776103205], [3.712467836968654, 51.07256064781357], [3.7124462261185727, 51.07254909657354], [3.712427284050052, 51.07253355121965], [3.7124117386961624, 51.07251460915113], [3.712400187456136, 51.072492998301044], [3.7123930742376494, 51.07246954916225], [3.7123906723977, 51.072445162872], [3.7123930742376494, 51.07242077658175], [3.712400187456136, 51.07239732744296], [3.7124117386961624, 51.07237571659287], [3.712427284050052, 51.07235677452435], [3.7124462261185727, 51.07234122917046], [3.712467836968654, 51.07232967793043], [3.712491286107448, 51.07232256471195], [3.7125156723977, 51.072320162872], [3.712540058687952, 51.07232256471195], [3.712563507826746, 51.07232967793043], [3.7125851186768273, 51.07234122917046], [3.712604060745348, 51.07235677452435], [3.7126196060992376, 51.07237571659287], [3.712631157339264, 51.07239732744296], [3.7126382705577505, 51.07242077658175], [3.7126406723977, 51.072445162872]]]], ""type"": ""MultiPolygon""}"
5b8bf787-2a77-4055-9473-e70ef7a36578;Dahliastraat 136;1;2;51.072992;3.705187;51.072992, 3.705187;"{""coordinates"": [[[[3.7053122233768003, 51.072991646007], [3.7053098215368507, 51.07301603229725], [3.705302708318364, 51.07303948143604], [3.705291157078338, 51.073061092286125], [3.7052756117244483, 51.073080034354646], [3.7052566696559275, 51.073095579708536], [3.705235058805846, 51.073107130948564], [3.705211609667052, 51.073114244167044], [3.7051872233768, 51.073116646006994], [3.705162837086548, 51.073114244167044], [3.7051393879477543, 51.073107130948564], [3.705117777097673, 51.073095579708536], [3.705098835029152, 51.073080034354646], [3.7050832896752626, 51.073061092286125], [3.7050717384352363, 51.07303948143604], [3.7050646252167496, 51.07301603229725], [3.7050622233768, 51.072991646007], [3.7050646252167496, 51.07296725971675], [3.7050717384352363, 51.072943810577954], [3.7050832896752626, 51.07292219972787], [3.705098835029152, 51.07290325765935], [3.705117777097673, 51.07288771230546], [3.7051393879477543, 51.07287616106543], [3.705162837086548, 51.07286904784695], [3.7051872233768, 51.072866646007], [3.705211609667052, 51.07286904784695], [3.705235058805846, 51.07287616106543], [3.7052566696559275, 51.07288771230546], [3.7052756117244483, 51.07290325765935], [3.705291157078338, 51.07292219972787], [3.705302708318364, 51.072943810577954], [3.7053098215368507, 51.07296725971675], [3.7053122233768003, 51.072991646007]]]], ""type"": ""MultiPolygon""}"
