name;station_id;geopunt;lat;lon
Voldersstraat 72;12003;51.0525333, 3.7229279;51.0525333;3.7229279
Vlaanderenstraat 3;12013;51.0514117, 3.7286276;51.0514117;3.7286276
Oostendestraat 91;13260;51.0351541, 3.7151205;51.0351541;3.7151205
Acaciapark;21538;51.06047, 3.698906;51.06047;3.698906
Achterleie 9;12038;51.0601723, 3.7256821;51.0601723;3.7256821
Gaston Crommenlaan 8;12438;51.0363702, 3.7357186;51.0363702;3.7357186
STAM - Stadsmuseum Gent;12057;51.0433045, 3.7177672;51.0433045;3.7177672
Victor Frisstraat 57;16089;51.0630107, 3.7074887;51.0630107;3.7074887
KASK;20840;51.0455266, 3.7186354;51.0455266;3.7186354
Oudburg 55;24168;51.0590581, 3.724778;51.0590581;3.724778
Ottogracht 55;12124;51.0588285, 3.7267639;51.0588285;3.7267639
Sint-Pietersnieuwstraat 41;18655;51.0455922, 3.7267941;51.0455922;3.7267941
Reep;12016;51.0535559, 3.7308213;51.0535559;3.7308213
Leiestraat 3;12186;51.0568008, 3.7039706;51.0568008;3.7039706
Muinkkaai 1;12046;51.047529, 3.7289608;51.047529;3.7289608
Sparrestraat 61;21536;51.0589886, 3.6975946;51.0589886;3.6975946
Hubert Frère-Orbanlaan 634;16706;51.0392616, 3.7364216;51.0392616;3.7364216
3de Gent-Sint-Pietersstation Noord;23129;51.0364314, 3.7130812;51.0364314;3.7130812
Sint-Juliaanstraat 28/32;16664;51.0335332, 3.7315122;51.0335332;3.7315122
3de Korenmarkt;22586;51.0554623, 3.7221769;51.0554623;3.7221769
Waldamkaai 13;13389;51.0566811, 3.7085281;51.0566811;3.7085281
UGent Campus Dunant;12434;51.0488106, 3.7038527;51.0488106;3.7038527
Vijfwindgatenstraat 23;16708;51.0444101, 3.7340243;51.0444101;3.7340243
Kaarderijstraat 31;12130;51.0553219, 3.697488;51.0553219;3.697488
Sportstraat 212;13286;51.0417894, 3.7068596;51.0417894;3.7068596
