name;station_id;geopunt;lat;lon
Edmond Van Beverenplein 7;13212;51.0729727, 3.7097549;51.0729727;3.7097549
Blauw Kotje;21707;51.0311431, 3.7137303;51.0311431;3.7137303
Gent-Sint-Pietersstation Noord;17180;51.0360093, 3.7119168;51.0360093;3.7119168
Patijntjestraat 11;12177;51.0390628, 3.7087229;51.0390628;3.7087229
Adriaan Pietersstraat 1;17066;51.0713864, 3.6864705;51.0713864;3.6864705
Het Rustpunt;15085;51.0562604, 3.716088;51.0562604;3.716088
Diksmuidestraat 52;16651;51.0312607, 3.7226933;51.0312607;3.7226933
Kattenberg 2;12351;51.0429065, 3.7234729;51.0429065;3.7234729
Molenaarsstraat 3;12044;51.059505, 3.7186538;51.059505;3.7186538
Fratersplein 1;12067;51.0618368, 3.7243753;51.0618368;3.7243753
Keizervest 1;19923;51.0419677, 3.7397721;51.0419677;3.7397721
Bisdomplein;12015;51.0526166, 3.7288539;51.0526166;3.7288539
Gordunakaai 1;12139;51.042648, 3.7104159;51.042648;3.7104159
Vlaamsekaai 86;16712;51.0449118, 3.7429104;51.0449118;3.7429104
P+R WEBA/Decathlon;12436;51.0741012, 3.7440595;51.0741012;3.7440595
Victor Braeckmanlaan 180;12437;51.0601714, 3.7607947;51.0601714;3.7607947
Gelukstraat 27;12125;51.0587906, 3.7285286;51.0587906;3.7285286
Onderstraat 71;12119;51.0554408, 3.7261504;51.0554408;3.7261504
Fietssnelweg;16604;51.0761568, 3.7153936;51.0761568;3.7153936
Oostakker hub;24033;51.0993927, 3.7648492;51.0993927;3.7648492
Willem Wenemaerstraat;21814;51.0392253, 3.7305554;51.0392253;3.7305554
Zwijnaardsesteenweg 439;16648;51.0263776, 3.7219716;51.0263776;3.7219716
P+R Watersportbaan;22217;51.0495672, 3.6873179;51.0495672;3.6873179
Frederik Burvenichstraat 132;12212;51.0402815, 3.7529484;51.0402815;3.7529484
Brusselsesteenweg 444;12099;51.0382642, 3.7472752;51.0382642;3.7472752
Lobeliastraat;21263;51.0632119, 3.7000761;51.0632119;3.7000761
Limburgstraat;22545;51.0520591, 3.7278779;51.0520591;3.7278779
Grote Huidevettershoek 1;12433;51.0493163, 3.7269116;51.0493163;3.7269116
Nieuwevaart;22216;51.065956, 3.7091989;51.065956;3.7091989
Brusselsesteenweg 316;13207;51.0404691, 3.7429901;51.0404691;3.7429901
FilmFest StudioSkoop;12032;51.0489671, 3.7338274;51.0489671;3.7338274
Sparrestraat 23;21537;51.0595685, 3.6985802;51.0595685;3.6985802
Fortlaan Citadelpark;12137;51.0366249, 3.7166989;51.0366249;3.7166989
Sterre Zuid;15559;51.0240214, 3.713336;51.0240214;3.713336
Muinkkaai 119;12052;51.0417154, 3.7293423;51.0417154;3.7293423
Koningin Elisabethlaan 18;12150;51.0376269, 3.7147088;51.0376269;3.7147088
Korte Meer;22583;51.0504691, 3.722482;51.0504691;3.722482
Justus De Harduwijnlaan 3;19280;51.066559, 3.7285682;51.066559;3.7285682
IKEA;23991;51.0236911, 3.6892353;51.0236911;3.6892353
Lentestraat 35;13395;51.0352341, 3.7303494;51.0352341;3.7303494
Vincent Evrardlaan 8;12311;51.0449175, 3.753857;51.0449175;3.753857
Sint-Elisabethplein 3;12423;51.0566867, 3.713966;51.0566867;3.713966
Sint-Pietersnieuwstraat 13A;22604;51.0482246, 3.7272741;51.0482246;3.7272741
Ekkergemstraat 9;21848;51.0525839, 3.7088423;51.0525839;3.7088423
Savaanstraat 47;22603;51.0489781, 3.726748;51.0489781;3.726748
Koningin Fabiolalaan 29;12141;51.0377762, 3.7064453;51.0377762;3.7064453
Maïsstraat 213;16635;51.0720608, 3.7126556;51.0720608;3.7126556
Bij Sint-Jozef 30;12413;51.0630376, 3.7101848;51.0630376;3.7101848
Sint-Widostraat;12005;51.0579855, 3.7193673;51.0579855;3.7193673
Peerstraat 2;13216;51.0591027, 3.6923874;51.0591027;3.6923874
Groendreef 47;12400;51.0620088, 3.7031366;51.0620088;3.7031366
Rhino Boulder gym;18773;51.0548977, 3.6992427;51.0548977;3.6992427
Bezoekers parking Maria Middelares;24074;51.0268164, 3.700914;51.0268164;3.700914
Thai Center;21598;51.0379481, 3.711039;51.0379481;3.711039
Campus Ledeganck;12425;51.0366069, 3.7245323;51.0366069;3.7245323
FilmFest vierNulvier;21522;51.0476701, 3.727033;51.0476701;3.727033
Hector van Wittenberghestraat 55;16692;51.059432, 3.7123166;51.059432;3.7123166
Drabstraat 12;12024;51.0555481, 3.7200885;51.0555481;3.7200885
Lange Violettestraat 227a;12146;51.0454271, 3.7351025;51.0454271;3.7351025
Meulesteedsesteenweg 438/498;13249;51.084941, 3.7274245;51.084941;3.7274245
Burgstraat 5;12197;51.0565679, 3.7196593;51.0565679;3.7196593
Dok Noord 2;18784;51.0666684, 3.7319924;51.0666684;3.7319924
Bagattenstraat 54;22607;51.0474509, 3.7232937;51.0474509;3.7232937
Meersstraat 102;13273;51.0403183, 3.7138052;51.0403183;3.7138052
Ekkergemstraat 34;16449;51.0513956, 3.7059044;51.0513956;3.7059044
Dok-Noord 5;12078;51.0661776, 3.7340293;51.0661776;3.7340293
Welvaartstraat 1;13215;51.0676195, 3.70002;51.0676195;3.70002
Nieuwpoort 31;12117;51.0561403, 3.7300175;51.0561403;3.7300175
KAA Gent Stadion;15995;51.0147138, 3.7343618;51.0147138;3.7343618
Verlorenkost 11;12317;51.0464758, 3.721487;51.0464758;3.721487
Stapelplein 31;12079;51.0642826, 3.7339905;51.0642826;3.7339905
Coupure Links 187;22611;51.0468605, 3.7151619;51.0468605;3.7151619
Gustaaf Mangelstraat;11997;51.0459356, 3.7260213;51.0459356;3.7260213
resto;24521;51.0704647, 3.7124978;51.0704647;3.7124978
Lieven de Winnestraat 54;12198;51.0490388, 3.7142959;51.0490388;3.7142959
